"term","total","prob"
"abscbns",4,7.37146723872324e-07
"absence",1070,0.000197186748635847
"absences",50,9.21433404840405e-06
"absent",503,9.26962005269447e-05
"absentee",62,1.1425774220021e-05
"absentia",14,2.58001353355313e-06
"absently",19,3.50144693839354e-06
"absentmindedly",20,3.68573361936162e-06
"absinthe",69,1.27157809867976e-05
"absofuckinglutely",6,1.10572008580849e-06
"absolute",1872,0.000344984666772248
"absolutely",7936,0.00146249910016269
"absolutes",32,5.89717379097859e-06
"absolution",55,1.01357674532445e-05
"absolutist",7,1.29000676677657e-06
"absolutley",29,5.34431374807435e-06
"absolutly",39,7.18718055775516e-06
"absolve",19,3.50144693839354e-06
"absolving",6,1.10572008580849e-06
"absorb",376,6.92917920439985e-05
"absorbed",347,6.39474782959241e-05
"absorbent",31,5.71288711001051e-06
"absorber",20,3.68573361936162e-06
"absorbers",8,1.47429344774465e-06
"absorbing",168,3.09601624026376e-05
"absorbs",61,1.12414875390529e-05
"absorption",94,1.73229480109996e-05
"abstain",53,9.76719409130829e-06
"abstained",15,2.76430021452122e-06
"abstaining",13,2.39572685258505e-06
"abstinence",98,1.80600947348719e-05
"abstract",606,0.000111677728666657
"abstraction",100,1.84286680968081e-05
"abstractions",31,5.71288711001051e-06
"abstracts",76,1.40057877535742e-05
"absurd",588,0.000108360568409232
"absurdities",23,4.23859366226586e-06
"absurdity",140,2.58001353355313e-05
"absurdly",74,1.3637214391638e-05
"absurdum",6,1.10572008580849e-06
"abt",1370,0.000252472752926271
"abu",200,3.68573361936162e-05
"abuela",15,2.76430021452122e-06
"abuelita",4,7.37146723872324e-07
"abundance",632,0.000116469182371827
"abundant",451,8.31132931166045e-05
"abundantly",130,2.39572685258505e-05
"abuse",2081,0.000383500583094577
"abused",557,0.000102647681299221
"abuser",92,1.69543746490635e-05
"abusers",92,1.69543746490635e-05
"abuses",180,3.31716025742546e-05
"abusing",185,3.4093035979095e-05
"abusive",370,6.818607195819e-05
"abut",31,5.71288711001051e-06
"abuzz",44,8.10861396259556e-06
"abv",501,9.23276271650086e-05
"abx",14,2.58001353355313e-06
"abysmal",65,1.19786342629253e-05
"abyss",223,4.10959298558821e-05
"abyssal",6,1.10572008580849e-06
"ac",912,0.00016806945304289
"aca",73,1.34529277106699e-05
"acacia",39,7.18718055775516e-06
"acad",31,5.71288711001051e-06
"academe",12,2.21144017161697e-06
"academia",203,3.74101962365204e-05
"academic",1655,0.000304994457002174
"academically",88,1.62172279251911e-05
"academics",335,6.17360381243071e-05
"academies",49,9.03004736743597e-06
"academy",1411,0.000260028506845962
"academyawards",4,7.37146723872324e-07
"acadiana",18,3.31716025742546e-06
"acai",46,8.47718732453173e-06
"acapella",37,6.818607195819e-06
"acapellas",37,6.818607195819e-06
"acapulco",16,2.9485868954893e-06
"acc",308,5.6760297738169e-05
"accel",12,2.21144017161697e-06
"accelerant",8,1.47429344774465e-06
"accelerate",144,2.65372820594037e-05
"accelerated",159,2.93015822739249e-05
"accelerates",34,6.26574715291475e-06
"accelerating",76,1.40057877535742e-05
"acceleration",98,1.80600947348719e-05
"accelerations",4,7.37146723872324e-07
"accelerator",89,1.64015146061592e-05
"accent",1301,0.000239756971939473
"accented",84,1.54800812013188e-05
"accents",583,0.000107439135004391
"accentuate",61,1.12414875390529e-05
"accentuated",27,4.97574038613819e-06
"accentuates",25,4.60716702420203e-06
"accept",4100,0.000755575391969132
"acceptable",1167,0.000215062556689751
"acceptance",909,0.000167516592999986
"acceptances",23,4.23859366226586e-06
"acceptation",4,7.37146723872324e-07
"accepted",2591,0.000477486790388298
"accepting",1197,0.000220591157118793
"accepts",311,5.73131577810732e-05
"access",4779,0.000880706048346459
"accessed",171,3.15130224455419e-05
"accesses",14,2.58001353355313e-06
"accessibility",252,4.64402436039564e-05
"accessible",744,0.000137109290640252
"accessing",146,2.69058554213398e-05
"accession",57,1.05043408151806e-05
"accessories",1033,0.000190368141440028
"accessorize",32,5.89717379097859e-06
"accessorized",40,7.37146723872324e-06
"accessorizing",18,3.31716025742546e-06
"accessory",235,4.3307370027499e-05
"accident",2277,0.00041962077256432
"accidental",300,5.52860042904243e-05
"accidentally",1102,0.000203083922426825
"accidentaly",4,7.37146723872324e-07
"accidently",115,2.11929683113293e-05
"accidents",461,8.49561599262853e-05
"acclaim",127,2.34044084829463e-05
"acclaimed",219,4.03587831320097e-05
"acclamation",7,1.29000676677657e-06
"acclimated",40,7.37146723872324e-06
"accolade",36,6.63432051485092e-06
"accolades",92,1.69543746490635e-05
"accommodate",437,8.05332795830514e-05
"accommodated",48,8.84576068646789e-06
"accommodates",18,3.31716025742546e-06
"accommodating",121,2.22986883971378e-05
"accommodation",239,4.40445167513714e-05
"accommodations",138,2.54315619735952e-05
"accomodate",48,8.84576068646789e-06
"accomodation",11,2.02715349064889e-06
"accomodations",7,1.29000676677657e-06
"accompanied",745,0.00013729357732122
"accompanies",109,2.00872482255208e-05
"accompaniment",131,2.41415552068186e-05
"accompaniments",14,2.58001353355313e-06
"accompany",351,6.46846250197964e-05
"accompanying",332,6.11831780814029e-05
"accomplice",56,1.03200541342125e-05
"accomplices",28,5.16002706710627e-06
"accomplish",1235,0.00022759405099558
"accomplished",1418,0.000261318513612739
"accomplishes",58,1.06886274961487e-05
"accomplishing",196,3.61201894697439e-05
"accomplishment",548,0.000100989101170508
"accomplishments",448,8.25604330737003e-05
"accord",211,3.88844896842651e-05
"accordance",233,4.29387966655629e-05
"accorded",30,5.52860042904243e-06
"accordian",18,3.31716025742546e-06
"according",8263,0.00152276084483925
"accordingly",511,9.41704939746894e-05
"accordion",119,2.19301150352016e-05
"accordionist",4,7.37146723872324e-07
"accosted",46,8.47718732453173e-06
"account",7922,0.00145991908662914
"accountability",512,9.43547806556575e-05
"accountable",513,9.45390673366256e-05
"accountancy",13,2.39572685258505e-06
"accountant",233,4.29387966655629e-05
"accountants",105,1.93501015016485e-05
"accounted",191,3.51987560649035e-05
"accounting",528,9.73033675511468e-05
"accounts",1992,0.000367099068488417
"accoutrements",21,3.8700203003297e-06
"accra",29,5.34431374807435e-06
"accreditation",70,1.29000676677657e-05
"accredited",98,1.80600947348719e-05
"accretion",9,1.65858012871273e-06
"accrue",28,5.16002706710627e-06
"accrued",35,6.45003383388283e-06
"acct",352,6.48689117007645e-05
"accts",64,1.17943475819572e-05
"accumulate",147,2.70901421023079e-05
"accumulated",215,3.96216364081374e-05
"accumulating",86,1.5848654563255e-05
"accumulation",126,2.32201218019782e-05
"accuracy",412,7.59261125588494e-05
"accurate",1332,0.000245469859049484
"accurately",435,8.01647062211152e-05
"accursed",27,4.97574038613819e-06
"accusation",138,2.54315619735952e-05
"accusations",287,5.28902774378393e-05
"accusatory",14,2.58001353355313e-06
"accuse",246,4.53345235181479e-05
"accused",1238,0.000228146911038484
"accuser",56,1.03200541342125e-05
"accusers",38,7.00289387678708e-06
"accuses",104,1.91658148206804e-05
"accusing",216,3.98059230891055e-05
"accustomed",331,6.09988914004348e-05
"acdc",79,1.45586477964784e-05
"ace",692,0.000127526383229912
"aced",54,9.95148077227637e-06
"aceh",19,3.50144693839354e-06
"acen",6,1.10572008580849e-06
"acer",82,1.51115078393826e-05
"acerbic",18,3.31716025742546e-06
"aces",157,2.89330089119887e-05
"acetaminophen",22,4.05430698129778e-06
"acetate",66,1.21629209438933e-05
"acetic",17,3.13287357645738e-06
"aceves",31,5.71288711001051e-06
"ach",28,5.16002706710627e-06
"achaia",6,1.10572008580849e-06
"ache",444,8.1823286349828e-05
"aches",270,4.97574038613819e-05
"achievable",80,1.47429344774465e-05
"achieve",2349,0.000432889413594022
"achieved",1185,0.000218379716947176
"achievement",905,0.000166779446276113
"achievements",424,7.81375527304664e-05
"achiever",31,5.71288711001051e-06
"achievers",36,6.63432051485092e-06
"achieves",116,2.13772549922974e-05
"achieving",544,0.000100251954446636
"achilles",171,3.15130224455419e-05
"aching",283,5.21531307139669e-05
"acho",4,7.37146723872324e-07
"achy",73,1.34529277106699e-05
"acid",812,0.000149640784946082
"acidic",128,2.35886951639144e-05
"acidification",9,1.65858012871273e-06
"acidity",156,2.87487222310206e-05
"acids",198,3.648876283168e-05
"acing",8,1.47429344774465e-06
"ack",190,3.50144693839354e-05
"acker",20,3.68573361936162e-06
"ackerman",39,7.18718055775516e-06
"acknowledge",892,0.000164383719423528
"acknowledged",540,9.95148077227638e-05
"acknowledgement",142,2.61687086974675e-05
"acknowledges",170,3.13287357645738e-05
"acknowledging",263,4.84673970946053e-05
"acknowledgment",75,1.38215010726061e-05
"acknowledgments",13,2.39572685258505e-06
"ackroyd",11,2.02715349064889e-06
"acl",333,6.1367464762371e-05
"acls",29,5.34431374807435e-06
"aclu",107,1.97186748635847e-05
"acm",68,1.25314943058295e-05
"acme",106,1.95343881826166e-05
"acmi",4,7.37146723872324e-07
"acms",43,7.92432728162748e-06
"acne",250,4.60716702420202e-05
"acorn",86,1.5848654563255e-05
"acorns",55,1.01357674532445e-05
"acos",8,1.47429344774465e-06
"acosta",28,5.16002706710627e-06
"acoustic",714,0.00013158069021121
"acoustically",14,2.58001353355313e-06
"acoustics",43,7.92432728162748e-06
"acqua",4,7.37146723872324e-07
"acquaintance",231,4.25702233036267e-05
"acquaintances",177,3.26187425313503e-05
"acquainted",181,3.33558892552227e-05
"acquiesced",8,1.47429344774465e-06
"acquiescence",24,4.42288034323394e-06
"acquire",559,0.000103016254661157
"acquired",837,0.000154247951970284
"acquires",68,1.25314943058295e-05
"acquiring",229,4.22016499416905e-05
"acquisition",456,8.40347265214449e-05
"acquisitions",120,2.21144017161697e-05
"acquisitive",6,1.10572008580849e-06
"acquit",6,1.10572008580849e-06
"acquittal",24,4.42288034323394e-06
"acquitted",72,1.32686410297018e-05
"acre",295,5.43645708855839e-05
"acreage",59,1.08729141771168e-05
"acres",596,0.000109834861856976
"acrl",66,1.21629209438933e-05
"acro",7,1.29000676677657e-06
"acrobat",50,9.21433404840405e-06
"acrobatics",36,6.63432051485092e-06
"acrobats",28,5.16002706710627e-06
"acronym",131,2.41415552068186e-05
"acronyms",84,1.54800812013188e-05
"across",11594,0.00213661977914393
"acrylic",340,6.26574715291475e-05
"acrylics",56,1.03200541342125e-05
"acs",57,1.05043408151806e-05
"act",9753,0.00179734799948169
"acta",84,1.54800812013188e-05
"acte",8,1.47429344774465e-06
"acted",680,0.000125314943058295
"actin",118,2.17458283542336e-05
"acting",3635,0.000669882085318974
"action",8209,0.00151280936406698
"actionable",62,1.1425774220021e-05
"actionadventure",19,3.50144693839354e-06
"actioncomedy",11,2.02715349064889e-06
"actionpacked",60,1.10572008580849e-05
"actions",3069,0.000565575823891041
"actionscript",16,2.9485868954893e-06
"actionthriller",5,9.21433404840405e-07
"activate",192,3.53830427458715e-05
"activated",185,3.4093035979095e-05
"activates",53,9.76719409130829e-06
"activating",46,8.47718732453173e-06
"activation",106,1.95343881826166e-05
"active",2692,0.000496099745166074
"activeduty",9,1.65858012871273e-06
"actively",774,0.000142637891069295
"activia",13,2.39572685258505e-06
"activism",287,5.28902774378393e-05
"activist",491,9.04847603553278e-05
"activists",586,0.000107991995047295
"activites",18,3.31716025742546e-06
"activities",3181,0.000586215932159466
"activity",3054,0.000562811523676519
"acton",14,2.58001353355313e-06
"actor",2033,0.000374654822408109
"actoractress",8,1.47429344774465e-06
"actorcomedian",4,7.37146723872324e-07
"actorfest",8,1.47429344774465e-06
"actors",2034,0.000374839109089077
"actorsactresses",17,3.13287357645738e-06
"actress",1109,0.000204373929193602
"actresses",184,3.39087492981269e-05
"acts",2475,0.000456109535396
"actual",4439,0.000818048576817312
"actuality",190,3.50144693839354e-05
"actually",29996,0.00552786328231856
"actualy",31,5.71288711001051e-06
"acu",11,2.02715349064889e-06
"acually",10,1.84286680968081e-06
"acumen",44,8.10861396259556e-06
"acupressure",16,2.9485868954893e-06
"acupuncture",142,2.61687086974675e-05
"acupuncturist",21,3.8700203003297e-06
"acura",144,2.65372820594037e-05
"acutally",12,2.21144017161697e-06
"acute",213,3.92530630462013e-05
"acutely",95,1.75072346919677e-05
"acy",12,2.21144017161697e-06
"ad",3355,0.000618281814647912
"ada",168,3.09601624026376e-05
"adachi",12,2.21144017161697e-06
"adage",104,1.91658148206804e-05
"adair",29,5.34431374807435e-06
"adairs",12,2.21144017161697e-06
"adam",2406,0.000443393754409203
"adamant",133,2.45101285687548e-05
"adamantium",9,1.65858012871273e-06
"adamantly",42,7.7400406006594e-06
"adamouski",26,4.79145370517011e-06
"adams",1301,0.000239756971939473
"adapt",522,9.61976474653383e-05
"adaptability",32,5.89717379097859e-06
"adaptable",73,1.34529277106699e-05
"adaptation",427,7.86904127733706e-05
"adaptations",124,2.2851548440042e-05
"adapted",567,0.000104490548108902
"adapter",87,1.6032941244223e-05
"adapting",175,3.22501691694142e-05
"adaption",21,3.8700203003297e-06
"adaptive",91,1.67700879680954e-05
"adaptor",22,4.05430698129778e-06
"adapts",28,5.16002706710627e-06
"adaquate",4,7.37146723872324e-07
"aday",57,1.05043408151806e-05
"add",17324,0.00319258246109104
"addai",19,3.50144693839354e-06
"addams",61,1.12414875390529e-05
"added",9088,0.00167479735663792
"addendum",62,1.1425774220021e-05
"adderall",43,7.92432728162748e-06
"addict",373,6.87389320010942e-05
"addicted",1369,0.000252288466245303
"addicting",277,5.10474106281584e-05
"addiction",1107,0.000204005355831666
"addictions",123,2.2667261759074e-05
"addictive",405,7.46361057920728e-05
"addicts",218,4.01744964510417e-05
"addie",58,1.06886274961487e-05
"addin",19,3.50144693839354e-06
"adding",3769,0.000694576500568697
"addis",27,4.97574038613819e-06
"addison",215,3.96216364081374e-05
"addition",3719,0.000685362166520293
"additional",2467,0.000454635241948256
"additionally",427,7.86904127733706e-05
"additions",381,7.02132254488389e-05
"additive",32,5.89717379097859e-06
"additives",78,1.43743611155103e-05
"addled",31,5.71288711001051e-06
"addon",79,1.45586477964784e-05
"addons",51,9.39862072937213e-06
"address",4755,0.000876283168003225
"addressed",783,0.000144296471198007
"addresses",589,0.0001085448550902
"addressing",521,9.60133607843702e-05
"adds",1548,0.000285275782138589
"addy",216,3.98059230891055e-05
"addys",30,5.52860042904243e-06
"ade",41,7.55575391969132e-06
"adel",9,1.65858012871273e-06
"adelaide",97,1.78758080539039e-05
"adele",668,0.000123103502886678
"adeles",76,1.40057877535742e-05
"adelman",13,2.39572685258505e-06
"adelson",12,2.21144017161697e-06
"adelyn",6,1.10572008580849e-06
"aden",23,4.23859366226586e-06
"adenoids",10,1.84286680968081e-06
"adept",131,2.41415552068186e-05
"adeptness",26,4.79145370517011e-06
"adequacy",6,1.10572008580849e-06
"adequate",438,8.07175662640195e-05
"adequately",208,3.83316296413608e-05
"ader",9,1.65858012871273e-06
"adhd",235,4.3307370027499e-05
"adhere",295,5.43645708855839e-05
"adhered",203,3.74101962365204e-05
"adherence",79,1.45586477964784e-05
"adherents",71,1.30843543487338e-05
"adheres",28,5.16002706710627e-06
"adhering",65,1.19786342629253e-05
"adhesive",211,3.88844896842651e-05
"adhoc",17,3.13287357645738e-06
"adi",38,7.00289387678708e-06
"adichie",8,1.47429344774465e-06
"adidas",189,3.48301827029673e-05
"adie",6,1.10572008580849e-06
"adieu",67,1.23472076248614e-05
"adios",88,1.62172279251911e-05
"adipose",7,1.29000676677657e-06
"adirondack",30,5.52860042904243e-06
"aditya",6,1.10572008580849e-06
"adj",54,9.95148077227637e-06
"adjacent",279,5.14159839900946e-05
"adjective",161,2.9670155635861e-05
"adjectives",120,2.21144017161697e-05
"adjoin",15,2.76430021452122e-06
"adjoining",78,1.43743611155103e-05
"adjoins",4,7.37146723872324e-07
"adjourn",13,2.39572685258505e-06
"adjourned",51,9.39862072937213e-06
"adjudicate",9,1.65858012871273e-06
"adjudication",18,3.31716025742546e-06
"adjunct",92,1.69543746490635e-05
"adjuncts",31,5.71288711001051e-06
"adjust",856,0.000157749398908677
"adjustable",123,2.2667261759074e-05
"adjusted",402,7.40832457491686e-05
"adjuster",15,2.76430021452122e-06
"adjusters",11,2.02715349064889e-06
"adjusting",335,6.17360381243071e-05
"adjustment",369,6.80017852772219e-05
"adjustments",310,5.71288711001051e-05
"adjusts",57,1.05043408151806e-05
"adkins",80,1.47429344774465e-05
"adl",53,9.76719409130829e-06
"adler",112,2.06401082684251e-05
"admin",434,7.99804195401472e-05
"administer",101,1.86129547777762e-05
"administered",155,2.85644355500526e-05
"administering",60,1.10572008580849e-05
"administration",1804,0.000332453172466418
"administrations",229,4.22016499416905e-05
"administrative",553,0.000101910534575349
"administrator",322,5.93403112717221e-05
"administrators",296,5.4548857566552e-05
"admins",71,1.30843543487338e-05
"admirable",242,4.45973767942756e-05
"admirably",61,1.12414875390529e-05
"admiral",172,3.16973091265099e-05
"admiration",318,5.86031645478498e-05
"admire",918,0.000169175173128698
"admired",374,6.89232186820623e-05
"admirer",70,1.29000676677657e-05
"admirers",70,1.29000676677657e-05
"admires",41,7.55575391969132e-06
"admiring",173,3.1881595807478e-05
"admission",993,0.000182996674201304
"admissions",214,3.94373497271693e-05
"admit",4398,0.00081049282289762
"admits",403,7.42675324301367e-05
"admittance",24,4.42288034323394e-06
"admitted",997,0.000183733820925177
"admittedly",503,9.26962005269447e-05
"admitting",353,6.50531983817326e-05
"admonish",16,2.9485868954893e-06
"admonished",32,5.89717379097859e-06
"admonishes",10,1.84286680968081e-06
"admonishing",19,3.50144693839354e-06
"admonition",38,7.00289387678708e-06
"admonitions",18,3.31716025742546e-06
"adn",8,1.47429344774465e-06
"adnams",15,2.76430021452122e-06
"adnauseum",4,7.37146723872324e-07
"ado",292,5.38117108426797e-05
"adobe",393,7.24246656204558e-05
"adobes",16,2.9485868954893e-06
"adobo",30,5.52860042904243e-06
"adolescence",143,2.63529953784356e-05
"adolescent",191,3.51987560649035e-05
"adolescents",87,1.6032941244223e-05
"adolf",68,1.25314943058295e-05
"adolph",22,4.05430698129778e-06
"adonis",26,4.79145370517011e-06
"adopt",770,0.000141900744345422
"adopted",1155,0.000212851116518134
"adoptee",34,6.26574715291475e-06
"adoptees",37,6.818607195819e-06
"adopter",37,6.818607195819e-06
"adopters",39,7.18718055775516e-06
"adopting",325,5.98931713146263e-05
"adoption",1009,0.000185945261096794
"adoptions",70,1.29000676677657e-05
"adoptive",149,2.74587154642441e-05
"adopts",60,1.10572008580849e-05
"adorable",2500,0.000460716702420203
"adorables",8,1.47429344774465e-06
"adorably",61,1.12414875390529e-05
"adorama",8,1.47429344774465e-06
"adoration",114,2.10086816303612e-05
"adorbs",22,4.05430698129778e-06
"adore",1014,0.000186866694501634
"adoreable",4,7.37146723872324e-07
"adored",243,4.47816634752437e-05
"adores",131,2.41415552068186e-05
"adoring",81,1.49272211584146e-05
"adoringly",7,1.29000676677657e-06
"adorn",87,1.6032941244223e-05
"adorned",136,2.5062988611659e-05
"adorning",57,1.05043408151806e-05
"adornment",27,4.97574038613819e-06
"adornments",14,2.58001353355313e-06
"adorns",18,3.31716025742546e-06
"adoulla",5,9.21433404840405e-07
"adovada",18,3.31716025742546e-06
"adp",52,9.58290741034021e-06
"adponcampus",4,7.37146723872324e-07
"adpr",4,7.37146723872324e-07
"adr",40,7.37146723872324e-06
"adrenal",36,6.63432051485092e-06
"adrenalin",44,8.10861396259556e-06
"adrenaline",261,4.80988237326691e-05
"adrenals",6,1.10572008580849e-06
"adress",21,3.8700203003297e-06
"adri",12,2.21144017161697e-06
"adria",8,1.47429344774465e-06
"adrian",387,7.13189455346473e-05
"adriana",63,1.16100609009891e-05
"adrianna",20,3.68573361936162e-06
"adriatic",8,1.47429344774465e-06
"adrien",66,1.21629209438933e-05
"adrienne",110,2.02715349064889e-05
"adriens",6,1.10572008580849e-06
"adrift",67,1.23472076248614e-05
"adrin",18,3.31716025742546e-06
"adrock",13,2.39572685258505e-06
"adroit",14,2.58001353355313e-06
"ads",1729,0.000318631671393812
"adsense",45,8.29290064356364e-06
"adtech",13,2.39572685258505e-06
"adtr",20,3.68573361936162e-06
"adu",14,2.58001353355313e-06
"adub",4,7.37146723872324e-07
"adult",3519,0.000648504830326677
"adulterer",6,1.10572008580849e-06
"adulterous",21,3.8700203003297e-06
"adultery",134,2.46944152497229e-05
"adulthood",267,4.92045438184776e-05
"adultness",4,7.37146723872324e-07
"adults",2444,0.00045039664828599
"adv",77,1.41900744345422e-05
"advance",2279,0.000419989345926257
"advanced",1335,0.000246022719092388
"advancement",189,3.48301827029673e-05
"advancements",48,8.84576068646789e-06
"advances",381,7.02132254488389e-05
"advancing",200,3.68573361936162e-05
"advantage",2706,0.000498679758699627
"advantageous",71,1.30843543487338e-05
"advantages",406,7.48203924730409e-05
"advent",288,5.30745641188073e-05
"adventurally",4,7.37146723872324e-07
"adventure",2704,0.000498311185337691
"adventurer",54,9.95148077227637e-06
"adventurers",86,1.5848654563255e-05
"adventures",1457,0.000268505694170494
"adventuresome",16,2.9485868954893e-06
"adventuretime",6,1.10572008580849e-06
"adventurous",351,6.46846250197964e-05
"adverb",40,7.37146723872324e-06
"adverbs",38,7.00289387678708e-06
"adversarial",33,6.08146047194667e-06
"adversaries",51,9.39862072937213e-06
